GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Data Model Library,life.qbic.datamodel.datasets.datastructure.files,DataFile,79,117,16,8,14,15,10,9,2,5
Data Model Library,life.qbic.datamodel.datasets,OxfordNanoporeMeasurement._prepareUnclassifiedData_closure4,2,13,0,0,0,1,0,2,0,2
Data Model Library,life.qbic.datamodel.datasets,OxfordNanoporeMeasurement._prepareUnclassifiedData_closure3,2,13,0,0,0,1,0,2,0,2
Data Model Library,life.qbic.datamodel.datasets,OxfordNanoporeMeasurement._prepareUnclassifiedData_closure6,2,13,0,0,0,1,0,2,0,2
Data Model Library,life.qbic.datamodel.datasets,OxfordNanoporeMeasurement._prepareUnclassifiedData_closure5,2,13,0,0,0,1,0,2,0,2
Data Model Library,life.qbic.datamodel.datasets,OxfordNanoporeExperiment._parseChildren_closure3,35,62,0,0,1,5,2,2,2,2
Data Model Library,life.qbic.datamodel.datasets,OxfordNanoporeMeasurement,269,1025,12,20,33,70,21,21,10,16
Data Model Library,life.qbic.datamodel.datasets,OxfordNanoporeExperiment._parseMeasurementItems_closure2,24,62,0,0,1,5,1,2,1,2
Data Model Library,life.qbic.datamodel.datasets,OxfordNanoporeMeasurement._validateMetaData_closure1,10,7,0,0,1,0,1,1,1,1
Data Model Library,life.qbic.datamodel.datasets,OxfordNanoporeMeasurement._prepareRawDataFromPooledMeasurement_closure9._closure13,10,31,0,0,0,1,1,2,1,2
Data Model Library,life.qbic.datamodel.datasets,OxfordNanoporeMeasurement._prepareRawDataFromPooledMeasurement_closure9._closure12,10,31,0,0,0,1,1,2,1,2
Data Model Library,life.qbic.datamodel.datasets,OxfordNanoporeMeasurement._prepareRawDataFromPooledMeasurement_closure9._closure11,10,31,0,0,0,1,1,2,1,2
Data Model Library,life.qbic.datamodel.datasets,OxfordNanoporeMeasurement._prepareRawDataFromPooledMeasurement_closure9._closure10,10,31,0,0,0,1,1,2,1,2
Data Model Library,life.qbic.datamodel.datasets,OxfordNanoporeMeasurement._prepareRawDataFromPooledMeasurement_closure8,2,18,0,0,0,1,0,2,0,2
Data Model Library,life.qbic.datamodel.datasets,OxfordNanoporeMeasurement._prepareRawDataFromPooledMeasurement_closure9,10,184,0,0,1,6,1,2,1,2
Data Model Library,life.qbic.datamodel.datasets,OxfordNanoporeMeasurement._prepareRawDataFromPooledMeasurement_closure7,2,13,0,0,0,1,0,2,0,2
Data Model Library,life.qbic.datamodel.datasets,OxfordNanoporeExperiment,174,767,5,9,18,77,5,15,0,13
Data Model Library,life.qbic.datamodel.datasets,OxfordNanoporeMeasurement.MetaData,2,57,0,0,1,5,0,2,0,2
Data Model Library,life.qbic.datamodel.datasets,OxfordNanoporeMeasurement._createContent_closure2,16,123,1,9,1,11,1,6,0,2
Data Model Library,life.qbic.datamodel.datasets,OxfordNanoporeExperiment._parseMeasurements_closure1,21,89,0,0,0,5,2,2,2,2
Data Model Library,life.qbic.datamodel.datasets,OxfordNanoporeMeasurement.METADATA_FIELD,0,251,0,0,0,0,0,1,0,1
Data Model Library,life.qbic.datamodel.attachments,AttachmentConfig,27,0,0,0,10,0,5,0,5,0
Data Model Library,life.qbic.datamodel.attachments,AttachmentInformation,55,0,0,0,20,0,8,0,8,0
Data Model Library,life.qbic.datamodel,RegExHelper,3,0,0,0,1,0,1,0,1,0
Data Model Library,life.qbic.datamodel,QbicPropertyType,1084,0,0,0,2,0,1,0,1,0
Data Model Library,life.qbic.datamodel.datasets.datastructure.folders.nanopore,Fast5PassFolder,14,53,1,5,2,7,2,5,1,3
Data Model Library,life.qbic.datamodel.datasets.datastructure.folders.nanopore,FastQPassFolder,14,53,1,5,2,7,2,5,1,3
Data Model Library,life.qbic.datamodel.datasets.datastructure.folders.nanopore,Fast5Folder,7,22,0,0,2,3,1,2,1,2
Data Model Library,life.qbic.datamodel.datasets.datastructure.folders.nanopore,Fast5FailFolder,14,53,1,5,2,7,2,5,1,3
Data Model Library,life.qbic.datamodel.datasets.datastructure.folders.nanopore,UnclassifiedFastQFolder,48,89,11,9,5,13,11,5,1,5
Data Model Library,life.qbic.datamodel.datasets.datastructure.folders.nanopore,UnclassifiedFast5Folder._validateChildren_closure1,2,16,0,0,0,1,0,2,0,2
Data Model Library,life.qbic.datamodel.datasets.datastructure.folders.nanopore,MeasurementFolder,14,53,1,5,2,7,2,5,1,3
Data Model Library,life.qbic.datamodel.datasets.datastructure.folders.nanopore,FastQFailFolder,14,53,1,5,2,7,2,5,1,3
Data Model Library,life.qbic.datamodel.datasets.datastructure.folders.nanopore,UnclassifiedFastQFolder._validateChildren_closure1,2,16,0,0,0,1,0,2,0,2
Data Model Library,life.qbic.datamodel.datasets.datastructure.folders.nanopore,FastQFolder,7,22,0,0,2,3,1,2,1,2
Data Model Library,life.qbic.datamodel.datasets.datastructure.folders.nanopore,BarcodedFolder,22,76,2,4,3,10,3,4,1,3
Data Model Library,life.qbic.datamodel.datasets.datastructure.folders.nanopore,UnclassifiedFast5Folder,34,96,6,10,4,14,7,7,1,5
Data Model Library,life.qbic.datamodel.datasets.datastructure.files.nanopore,DriftCorrectionLog,14,58,1,5,2,7,2,5,1,3
Data Model Library,life.qbic.datamodel.datasets.datastructure.files.nanopore,DutyTimeLog,14,58,1,5,2,7,2,5,1,3
Data Model Library,life.qbic.datamodel.datasets.datastructure.files.nanopore,MuxScanDataLog,14,58,1,5,2,7,2,5,1,3
Data Model Library,life.qbic.datamodel.datasets.datastructure.files.nanopore,ReportMdLog,14,58,1,5,2,7,2,5,1,3
Data Model Library,life.qbic.datamodel.datasets.datastructure.files.nanopore,SequencingSummaryLog,14,58,1,5,2,7,2,5,1,3
Data Model Library,life.qbic.datamodel.datasets.datastructure.files.nanopore,FastQFile,19,48,3,3,2,6,3,3,0,3
Data Model Library,life.qbic.datamodel.datasets.datastructure.files.nanopore,FastQZippedFile,19,48,3,3,2,6,3,3,0,3
Data Model Library,life.qbic.datamodel.datasets.datastructure.files.nanopore,ReportPDFLog,14,58,1,5,2,7,2,5,1,3
Data Model Library,life.qbic.datamodel.datasets.datastructure.files.nanopore,ThroughputLog,24,48,3,3,3,6,4,3,1,3
Data Model Library,life.qbic.datamodel.datasets.datastructure.files.nanopore,FinalSummaryLog,14,58,1,5,2,7,2,5,1,3
Data Model Library,life.qbic.datamodel.datasets.datastructure.files.nanopore,Fast5File,19,48,3,3,2,6,3,3,0,3
Data Model Library,life.qbic.datamodel.ms,LigandPrepRun,181,0,38,0,42,0,23,0,4,0
Data Model Library,life.qbic.datamodel.ms,MSRunCollection,94,0,22,0,27,0,14,0,3,0
Data Model Library,life.qbic.datamodel.ms,MSProperties,213,0,46,0,55,0,31,0,8,0
Data Model Library,life.qbic.datamodel.people,Contact,240,0,2,0,33,0,12,0,11,0
Data Model Library,life.qbic.datamodel.people,Person,65,0,0,0,10,0,4,0,4,0
Data Model Library,life.qbic.datamodel.people,Address,447,0,32,0,44,0,31,0,15,0
Data Model Library,life.qbic.datamodel.sorters,SampleCodeComparator,101,0,12,0,19,0,9,0,3,0
Data Model Library,life.qbic.datamodel.sorters,SampleSecondaryNameComparator,17,0,0,0,5,0,3,0,3,0
Data Model Library,life.qbic.datamodel.sorters,Helpers,157,0,46,0,33,0,25,0,2,0
Data Model Library,life.qbic.datamodel.sorters,SampleTypeComparator,13,0,0,0,3,0,3,0,3,0
Data Model Library,life.qbic.datamodel.sorters,SampleExtIDComparator,25,0,4,0,9,0,5,0,3,0
Data Model Library,life.qbic.datamodel.sorters,ComparatorsTester,148,0,18,0,24,0,10,0,1,0
Data Model Library,life.qbic.datamodel.sorters,ImportantStringComparator,13,0,0,0,3,0,3,0,3,0
Data Model Library,life.qbic.datamodel.sorters,TopInfoComparator,13,0,0,0,3,0,3,0,3,0
Data Model Library,life.qbic.datamodel.samples,SampleSummary,408,0,50,0,98,0,52,0,27,0
Data Model Library,life.qbic.datamodel.samples,OpenbisMHCExtractSample,48,0,0,0,11,0,3,0,3,0
Data Model Library,life.qbic.datamodel.samples,Location,818,0,58,0,76,0,54,0,25,0
Data Model Library,life.qbic.datamodel.samples,SampleType,0,404,0,0,0,2,0,1,0,1
Data Model Library,life.qbic.datamodel.samples,TSVSampleBean,253,0,10,0,66,0,32,0,27,0
Data Model Library,life.qbic.datamodel.samples,AOpenbisSample,562,0,28,0,126,0,43,0,29,0
Data Model Library,life.qbic.datamodel.samples,OpenbisBiologicalEntity,35,0,0,0,8,0,2,0,2,0
Data Model Library,life.qbic.datamodel.samples,OpenbisTestSample,39,0,0,0,9,0,3,0,3,0
Data Model Library,life.qbic.datamodel.samples,OpenbisBiologicalSample,51,0,0,0,12,0,3,0,3,0
Data Model Library,life.qbic.datamodel.samples,Sample,242,0,2,0,33,0,12,0,11,0
Data Model Library,life.qbic.datamodel.samples,Status,146,0,0,0,0,0,1,0,1,0
Data Model Library,life.qbic.datamodel.samples,OpenbisMSSample,27,0,0,0,6,0,3,0,3,0
Data Model Library,life.qbic.datamodel.identifiers,SampleCodeFunctions.new HashMap() {...},0,48,0,0,0,11,0,1,0,1
Data Model Library,life.qbic.datamodel.identifiers,TooManySamplesException,3,0,0,0,1,0,1,0,1,0
Data Model Library,life.qbic.datamodel.identifiers,ExperimentCodeFunctions,56,0,0,0,5,0,5,0,5,0
Data Model Library,life.qbic.datamodel.identifiers,SampleCodeFunctions,389,31,36,2,81,8,34,3,16,2
Data Model Library,life.qbic.datamodel.datasets.datastructure.folders,DataFolder,114,255,20,14,9,25,15,9,1,6
Data Model Library,life.qbic.datamodel.datasets.datastructure.folders,DataFolder._hashCode_closure2,13,46,0,0,0,1,1,2,1,2
Data Model Library,life.qbic.datamodel.datasets.datastructure.folders,DataFolder._getChildren_closure1,2,11,0,0,0,1,0,2,0,2
Data Model Library,life.qbic.datamodel.instruments,OxfordNanoporeInstrumentOutput,2,12,0,0,1,1,0,1,0,1
Data Model Library,life.qbic.datamodel.workflows,NextflowEventType,167,0,0,0,0,0,1,0,1,0
Data Model Library,life.qbic.datamodel.workflows,RunInfo,325,0,10,0,21,0,9,0,4,0
Data Model Library,life.qbic.datamodel.workflows,MetaData,163,0,14,0,17,0,11,0,4,0
Data Model Library,life.qbic.datamodel.workflows,Trace,163,0,14,0,17,0,11,0,4,0
Data Model Library,life.qbic.datamodel.persons,OpenbisSpaceUserRole,44,0,0,0,2,0,1,0,1,0
